제품명,평균_점수,총_점수
올 어바웃 더 블러 블러링 앤 스무딩 프라이머,1.2922725209641261,73.65953369495519
타르티스트™ 프로 글로우 투 고 팔레트,1.2922618505326038,6.461309252663019
이너밸런싱 페미닌 티슈,1.2922408550593054,89.16461899909207
퍼펙트 UV 젤 N [SPF50+/PA++++],1.292227147173741,11.630044324563668
리커버리 머드 팩투폼 클렌저,1.292215812397911,90.45510686785377
베이직 아쿠아 올인원,1.292201834428284,126.63577977397183
소어 조인트 럽,1.2921700160051874,2.584340032010375
에센셜 부스터,1.2921655455855174,25.843310911710347
브이 리프팅 롤러 크림,1.292163543102227,107.24957407748484
(디퓨즈드 로즈 에디션) 앰비언트 팔레트,1.2921406365339327,6.460703182669664
스팀 아이마스크 [로즈향],1.292101085709853,11.628909771388676
볼류마이징 립 퐁듀,1.2920959152388947,111.12024871054494
탄산테라피 클렌징 파우더,1.2920873538886901,125.33247332720293
미나리 진정 선크림 [SPF50+/PA++++],1.2920868827443073,99.49068997131165
살몬 케어링 센텔라 버블 클렌져,1.29206241500312,158.92367704538376
아임 유어 립 틴트,1.2920582693460105,111.1170111637569
로션,1.2920308868881079,140.83136667080376
시카 알로에 나이트 리페어 크림,1.292026719612857,40.05282830799857
스퀘어 팩 패드 모이스처,1.2920155649654632,142.12171214620096
콜라겐 부스터 세럼,1.292008365919917,113.6967362009527
스칼프 솔루션 오버나이트 리뉴얼 세럼,1.2919892243289315,129.19892243289314
키즈 프레쉬 2in1 샴푸,1.2919877695809912,12.91987769580991
글레이즈 립 체인저,1.291967932006152,126.61285733660289
밤부 퍼펙트 토너 미스트,1.2919597359309503,143.40753068833547
제로스킬 픽싱 아이브로우,1.2919575544071276,108.52443457019871
프로폴리스 멀티 앰플밤,1.2919522289362106,49.094184699576005
자연이 빚은 시그니처 컨디셔닝 바,1.291945838729416,65.88923777520021
포어 블러 업 선 [SPF50+/PA++++],1.2919372607911677,129.19372607911677
NMF 워터드롭 데일리 선 세럼 [SPF50+/PA++++],1.2918934417119368,64.59467208559684
본 보야지 핸드크림 [클라우드],1.2918842077373554,90.43189454161488
